32 64 64 128 1 -3.835762
40 64 64 128 1 -3.570800  
48 64 64 128 1 -2.869967
56 64 64 128 1 -3.137179  
64 64 64 128 1 -3.096107  
72 64 64 128 1 -3.069541  
80 64 64 128 1 -2.849950  
88 64 64 128 1 -3.224467  
96 64 64 128 1 -3.506355  
104 64 64 128 1 -3.740734  
112 64 64 128 1 -3.412044  
120 64 64 128 1 -3.800215  
128 64 64 128 1 -4.073560  
136 64 64 128 1 -4.436866  
144 64 64 128 1 -3.928401  
152 64 64 128 1 -3.011757  
160 64 64 128 1 -3.049454  
168 64 64 128 1 -3.323382  
176 64 64 128 1 -2.967681  
184 64 64 128 1 -3.630027  
192 64 64 128 1 -3.628215  
200 64 64 128 1 -3.648209  
208 64 64 128 1 -3.510087  
216 64 64 128 1 -3.579296  
224 64 64 128 1 -3.391101  
232 64 64 128 1 -3.271131  
240 64 64 128 1 -3.294543  
248 64 64 128 1 -3.412181  
256 64 64 128 1 -3.148676  
264 64 64 128 1 -3.209661  
272 64 64 128 1 -3.382199  
280 64 64 128 1 -3.498155  
288 64 64 128 1 -3.578096  
296 64 64 128 1 -3.813805  
304 64 64 128 1 -3.521262  
312 64 64 128 1 -3.358224  
320 64 64 128 1 -3.453582  
32 72 64 128 1 -3.804766  
40 72 64 128 1 -3.563168  
48 72 64 128 1 -2.835255  
56 72 64 128 1 -2.990970  
64 72 64 128 1 -2.994626  
72 72 64 128 1 -3.022603  
80 72 64 128 1 -3.301195  
88 72 64 128 1 -3.037380  
96 72 64 128 1 -3.668290  
104 72 64 128 1 -3.349864  
112 72 64 128 1 -3.291455  
120 72 64 128 1 -3.527091  
128 72 64 128 1 -3.859580  
136 72 64 128 1 -4.096581  
144 72 64 128 1 -4.067467  
152 72 64 128 1 -3.449286  
160 72 64 128 1 -2.996408  
168 72 64 128 1 -3.265657  
176 72 64 128 1 -3.478473  
184 72 64 128 1 -3.665703  
192 72 64 128 1 -3.778320  
200 72 64 128 1 -3.537446  
208 72 64 128 1 -3.462432  
216 72 64 128 1 -3.535850  
224 72 64 128 1 -3.701210  
232 72 64 128 1 -3.261817  
240 72 64 128 1 -3.718859  
248 72 64 128 1 -3.334012  
256 72 64 128 1 -3.634960  
264 72 64 128 1 -3.342874  
272 72 64 128 1 -3.564423  
280 72 64 128 1 -3.131156  
288 72 64 128 1 -3.258872  
296 72 64 128 1 -3.462099  
304 72 64 128 1 -3.301061  
312 72 64 128 1 -3.436585  
320 72 64 128 1 -3.461053  
32 80 64 128 1 -4.164722  
40 80 64 128 1 -4.063578  
48 80 64 128 1 -3.587633  
56 80 64 128 1 -3.420768  
64 80 64 128 1 -3.270600  
72 80 64 128 1 -3.289536  
